"genome"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"completeness"	"contamination"	"mag_size"
"47"	"EHA03138_bin.47"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp018205345"	59.57	3.13	1246497
"39"	"EHA03138_bin.48"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Tissierellaceae"	"g__"	"s__"	50.63	9.31	846384
"161"	"EHA03138_bin.4"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae_A"	"g__Sutterella"	"s__Sutterella sp905215795"	97.48	0.54	1644618
"38"	"EHA03138_bin.50"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__"	"g__"	"s__"	52.52	7.26	1102174
"49"	"EHA03138_bin.52"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	79.66	3.79	2066147
"92"	"EHA03138_bin.5"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__GCA-900066495"	"s__"	76.21	5.34	1368943
"68"	"EHA03138_bin.60"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__"	63.44	7.85	2161898
"61"	"EHA03138_bin.63"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Savagea"	"s__"	51.26	4.21	1525783
"107"	"EHA03138_bin.64"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	50.04	0.05	800077
"138"	"EHA03138_bin.66"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	71.51	6.3	1720730
"156"	"EHA03138_bin.70"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Bulleidia"	"s__"	53.13	4.86	1288078
"176"	"EHA03161_bin.106"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides thetaiotaomicron"	60	5.73	3544005
"198"	"EHA03161_bin.107"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	51.17	2.99	1257039
"115"	"EHA03161_bin.108"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Lawsonibacter"	"s__Lawsonibacter sp000177015"	51.99	0.83	1432994
"19"	"EHA03161_bin.10"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"	"s__Phocaeicola massiliensis"	60.27	2.31	2474232
"223"	"EHA03161_bin.11"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Plesiomonas"	"s__Plesiomonas shigelloides"	83.66	3.81	3226307
"188"	"EHA03161_bin.12"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Haloplasmatales"	"f__Turicibacteraceae"	"g__Turicibacter"	"s__"	72.49	3.35	2389035
"182"	"EHA03161_bin.14"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium butyricum"	82.76	2.68	3581962
"99"	"EHA03161_bin.15"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruthenibacterium"	"s__"	99.24	0.98	2662150
"163"	"EHA03161_bin.16"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__"	86.53	2.56	2996250
"146"	"EHA03161_bin.17"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Paraclostridium"	"s__Paraclostridium sordellii"	99.78	1.27	3218486
"103"	"EHA03161_bin.18"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Coprobacillaceae"	"g__Thomasclavelia"	"s__Thomasclavelia ramosa"	90.2	3.09	2966966
"184"	"EHA03161_bin.19"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_H"	"s__Clostridium_H haemolyticum"	99.29	0.03	2439538
"150"	"EHA03161_bin.1"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Vagococcaceae"	"g__Vagococcus_C"	"s__Vagococcus_C humatus"	88.84	1.77	1932257
"27"	"EHA03161_bin.21"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_X"	"s__"	99.72	1.42	2334000
"154"	"EHA03161_bin.22"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Cellulosilyticaceae"	"g__Zhenhengia"	"s__Zhenhengia yiwuensis"	80.48	2.16	2985375
"17"	"EHA03161_bin.23"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__"	"s__"	99.81	0.01	1842362
"33"	"EHA03161_bin.26"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__Campylobacter_D volucris"	86.54	0.04	1261729
"101"	"EHA03161_bin.27"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Anaerofilum"	"s__"	98.39	0.67	2112124
"96"	"EHA03161_bin.28"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Ligilactobacillus"	"s__"	99.96	0.07	1766178
"86"	"EHA03161_bin.32"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Mycoplasma_L"	"s__"	88.49	0.48	857799
"210"	"EHA03161_bin.34"	"d__Bacteria"	"p__Chlamydiota"	"c__Chlamydiia"	"o__Chlamydiales"	"f__Chlamydiaceae"	"g__Chlamydiifrater"	"s__"	96.25	0.27	1144730
"130"	"EHA03161_bin.37"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Terrisporobacter"	"s__Terrisporobacter othiniensis"	83.82	3.72	3074350
"137"	"EHA03161_bin.40"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Anaerotignaceae"	"g__Anaerotignum"	"s__"	84.75	0.55	1485624
"133"	"EHA03161_bin.41"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp900555845"	54.74	2.48	1014061
"108"	"EHA03161_bin.44"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus amylovorus"	95.68	1.2	1977323
"196"	"EHA03161_bin.47"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__"	"s__"	92.24	0.6	1479071
"64"	"EHA03161_bin.4"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Anaerotruncus"	"s__"	50.03	0.93	1150331
"87"	"EHA03161_bin.50"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Mycoplasma_L"	"s__"	81.59	1.43	938184
"43"	"EHA03161_bin.52"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Tannerellaceae"	"g__Parabacteroides"	"s__Parabacteroides distasonis"	99.5	1.66	4335884
"31"	"EHA03161_bin.58"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__UBA1367"	"s__UBA1367 sp900314645"	65.72	2.83	2377274
"221"	"EHA03161_bin.59"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Coprobacillaceae"	"g__Thomasclavelia"	"s__Thomasclavelia spiroformis"	85.74	0.84	2448597
"22"	"EHA03161_bin.61"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia"	"s__Blautia coccoides"	87.61	7.75	5475173
"187"	"EHA03161_bin.62"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Clostridium_AP"	"s__Clostridium_AP scindens"	82.32	1.09	1945075
"63"	"EHA03161_bin.68"	"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfovibrionia"	"o__Desulfovibrionales"	"f__Desulfovibrionaceae"	"g__Mailhella"	"s__"	99.86	0	2133075
"84"	"EHA03161_bin.69"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_G"	"s__"	99.96	0.01	1455729
"141"	"EHA03161_bin.6"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Dwaynesavagella"	"s__"	98.98	0.2	1558041
"166"	"EHA03161_bin.70"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__"	"s__"	97.08	3.94	1533176
"148"	"EHA03161_bin.72"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	85.41	5.35	2710253
"25"	"EHA03161_bin.75"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides xylanisolvens"	83.64	4.74	4479036
"205"	"EHA03161_bin.77"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"	"s__Phocaeicola plebeius_A"	61.7	1.13	1982628
"149"	"EHA03161_bin.7"	"d__Bacteria"	"p__Deferribacterota"	"c__Deferribacteres"	"o__Deferribacterales"	"f__Mucispirillaceae"	"g__"	"s__"	96.24	0.13	2116395
"15"	"EHA03161_bin.80"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Anaerofilum"	"s__"	82.31	1.92	2008179
"171"	"EHA03161_bin.82"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Pseudoflavonifractor_A"	"s__Pseudoflavonifractor_A merdipullorum"	65.85	1.51	1765554
"114"	"EHA03161_bin.83"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Vagococcaceae"	"g__Vagococcus"	"s__"	71.45	2.53	1497814
"172"	"EHA03161_bin.84"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Butyricicoccaceae"	"g__Butyricicoccus"	"s__Butyricicoccus pullicaecorum"	97.28	0.6	2142272
"135"	"EHA03161_bin.85"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Sellimonas"	"s__Sellimonas intestinalis"	97.36	1.18	2508618
"212"	"EHA03161_bin.87"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp018205345"	74.94	9.33	1858889
"190"	"EHA03161_bin.8"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__RGIG3102"	"s__"	54.21	0.56	693882
"88"	"EHA03161_bin.91"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium sardiniense"	94.62	1.12	3493233
"193"	"EHA03161_bin.94"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	77.17	1.18	1770081
"66"	"EHA03161_bin.98"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides caccae"	86.83	4.27	4405980
"10"	"EHA03161_bin.9"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Limosilactobacillus"	"s__Limosilactobacillus reuteri"	99.74	1.05	1951852
"42"	"EHA03189_bin.10"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__RGIG1987"	"s__"	77.95	0.42	733059
"203"	"EHA03189_bin.11"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__RGIG1987"	"s__"	78.22	1.75	751241
"118"	"EHA03189_bin.12"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__RGIG1987"	"s__"	88.86	3.17	765979
"211"	"EHA03189_bin.14"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Mycoplasma_L"	"s__"	77.43	0.55	692823
"191"	"EHA03189_bin.19"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__Anaerosphaera"	"s__"	99.19	0.2	1863836
"173"	"EHA03189_bin.1"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_G"	"s__"	99.38	0.7	1359287
"124"	"EHA03189_bin.20"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__"	"s__"	94.15	2.65	1860135
"37"	"EHA03189_bin.28"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	63.41	0.99	2801312
"162"	"EHA03189_bin.31"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Ureaplasma"	"s__"	70.08	1.8	672393
"51"	"EHA03189_bin.32"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Ureaplasma"	"s__"	77.4	0.19	693427
"195"	"EHA03189_bin.33"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Ureaplasma"	"s__"	77.72	0.01	711134
"110"	"EHA03189_bin.34"	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Selenomonadales"	"f__Selenomonadaceae"	"g__"	"s__"	99.84	1.22	1738761
"46"	"EHA03189_bin.35"	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__"	"s__"	91.77	0.89	1640911
"208"	"EHA03189_bin.40"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__"	"s__"	74.63	0.67	1910923
"83"	"EHA03189_bin.41"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__RGIG1987"	"s__"	66.67	7.03	546068
"21"	"EHA03189_bin.42"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__"	64.27	6.99	2160407
"157"	"EHA03189_bin.44"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	"s__"	50.08	9.17	1906923
"185"	"EHA03189_bin.45"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	"s__Lactobacillus amylovorus"	54.83	2.35	1373364
"170"	"EHA03189_bin.46"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	51.8	1.26	723008
"97"	"EHA03189_bin.47"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__"	"s__"	59.66	4.21	1679731
"186"	"EHA03189_bin.7"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__"	97.93	2.44	1970890
"175"	"EHA03189_bin.9"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__"	97.69	0.06	1312338
"94"	"EHA03206_bin.10"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__"	96.79	0.4	1404743
"11"	"EHA03206_bin.11"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__"	87.79	1.76	2186012
"18"	"EHA03206_bin.14"	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Plesiomonas"	"s__Plesiomonas shigelloides"	82.26	3.6	3030699
"174"	"EHA03206_bin.17"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Mycoplasmatales"	"f__UBA3375"	"g__UBA3375"	"s__"	58.87	1.16	489997
"139"	"EHA03206_bin.1"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp900015295"	99.99	0.91	1975022
"24"	"EHA03206_bin.23"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_D"	"s__"	99.98	0.03	1537304
"132"	"EHA03206_bin.24"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__"	98.35	2.14	1584534
"129"	"EHA03206_bin.25"	"d__Bacteria"	"p__Bacillota_B"	"c__Peptococcia"	"o__Peptococcales"	"f__Peptococcaceae"	"g__"	"s__"	98.33	0.05	1425866
"111"	"EHA03206_bin.26"	"d__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium_A"	"s__Fusobacterium_A sp018205345"	80.26	4.74	1934459
"82"	"EHA03206_bin.3"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__"	50.56	6.53	1753632
"40"	"EHA03206_bin.5"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Catellicoccaceae"	"g__Catellicoccus"	"s__"	100	0.1	1412153
"7"	"EHA03206_bin.6"	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__CAG-274"	"g__Tyzzerella"	"s__"	100	0.08	1828956
"30"	"EHA03206_bin.7"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__Helicobacter_G"	"s__"	99.95	0	1333144
"217"	"EHA03206_bin.9"	"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__"	"s__"	100	0	1568065
